Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
8;1;8;20;8;2;652;78;1;0.41270;0.81384;0.44851;0.79808
8;1;8;20;8;2;652;78;2;0.35161;0.84931;1.47021;0.48397
8;1;8;20;8;2;652;78;3;0.31934;0.86215;0.42972;0.80449
8;1;8;20;8;2;652;78;4;0.29343;0.87788;0.56685;0.73878
8;1;8;20;8;2;652;78;5;0.27803;0.88727;1.25913;0.66506
8;1;8;20;8;2;652;78;6;0.28619;0.88018;0.83480;0.72596
8;1;8;20;8;2;652;78;7;0.25703;0.89302;15.04610;0.62500
8;1;8;20;8;2;652;78;8;0.26721;0.88785;0.55255;0.84455
8;1;8;20;8;2;652;78;9;0.26134;0.89705;0.82412;0.72436
8;1;8;20;8;2;652;78;10;0.26443;0.89321;1.41803;0.67308
8;1;8;20;8;2;652;78;11;0.22942;0.90625;0.79083;0.72276
8;1;8;20;8;2;652;78;12;0.22433;0.90683;1.44776;0.69071
8;1;8;20;8;2;652;78;13;0.21203;0.91200;0.51007;0.86859
8;1;8;20;8;2;652;78;14;0.20814;0.91449;0.51118;0.82532
8;1;8;20;8;2;652;78;15;0.21325;0.91699;0.31759;0.87981
8;1;8;20;8;2;652;78;16;0.20509;0.92140;0.35832;0.84455
8;1;8;20;8;2;652;78;17;0.20236;0.92005;0.39407;0.85737
8;1;8;20;8;2;652;78;18;0.20840;0.91603;0.81558;0.79808
8;1;8;20;8;2;652;78;19;0.21133;0.91775;0.49906;0.84295
8;1;8;20;8;2;652;78;20;0.18493;0.92772;0.70217;0.80288
8;1;8;20;16;2;326;39;1;0.14961;0.94402;0.36322;0.89103
8;1;8;20;16;2;326;39;2;0.13020;0.94958;0.36407;0.87179
8;1;8;20;16;2;326;39;3;0.13477;0.94958;0.41179;0.86538
8;1;8;20;16;2;326;39;4;0.13609;0.94709;1.18496;0.79647
8;1;8;20;16;2;326;39;5;0.12677;0.95245;0.35809;0.87981
8;1;8;20;16;2;326;39;6;0.14298;0.94862;0.27876;0.88462
8;1;8;20;16;2;326;39;7;0.12646;0.95380;0.46408;0.86218
8;1;8;20;16;2;326;39;8;0.12827;0.95073;11.27103;0.78205
8;1;8;20;16;2;326;39;9;0.13478;0.94824;0.34959;0.88301
8;1;8;20;16;2;326;39;10;0.12569;0.95188;0.56047;0.84936
8;1;8;20;16;2;326;39;11;0.12664;0.95035;0.23755;0.90064
8;1;8;20;16;2;326;39;12;0.12451;0.95514;0.56380;0.87821
8;1;8;20;16;2;326;39;13;0.12553;0.95360;0.41802;0.85737
8;1;8;20;16;2;326;39;14;0.12618;0.95322;0.72002;0.83974
8;1;8;20;16;2;326;39;15;0.11921;0.95265;0.42494;0.87500
8;1;8;20;16;2;326;39;16;0.12303;0.95859;0.70853;0.81891
8;1;8;20;16;2;326;39;17;0.12620;0.95360;91.72527;0.86699
8;1;8;20;16;2;326;39;18;0.12143;0.95590;0.75709;0.85096
8;1;8;20;16;2;326;39;19;0.12638;0.95399;0.95735;0.73077
8;1;8;20;16;2;326;39;20;0.11799;0.95552;0.44795;0.84936
