Type Deep Layer;Process;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
6;1;6;20;8;2;652;78;1;0.42846;0.81423;0.68594;0.67308
6;1;6;20;8;2;652;78;2;0.35352;0.85353;0.94882;0.65064
6;1;6;20;8;2;652;78;3;0.31497;0.86676;4.97840;0.37981
6;1;6;20;8;2;652;78;4;0.30035;0.87807;0.43608;0.80609
6;1;6;20;8;2;652;78;5;0.31461;0.87500;0.43707;0.82853
6;1;6;20;8;2;652;78;6;0.28580;0.88459;0.66606;0.70353
6;1;6;20;8;2;652;78;7;0.27239;0.89264;0.57116;0.75000
6;1;6;20;8;2;652;78;8;0.27961;0.89264;1.67967;0.62500
6;1;6;20;8;2;652;78;9;0.26119;0.89379;0.38929;0.84135
6;1;6;20;8;2;652;78;10;0.28525;0.88401;1.86114;0.62981
6;1;6;20;8;2;652;78;11;0.32705;0.86522;0.76095;0.75641
6;1;6;20;8;2;652;78;12;0.26595;0.89551;1.84716;0.63301
6;1;6;20;8;2;652;78;13;0.26988;0.89743;0.46813;0.84135
6;1;6;20;8;2;652;78;14;0.26813;0.90050;0.69302;0.79487
6;1;6;20;8;2;652;78;15;0.23147;0.91334;0.40321;0.87500
6;1;6;20;8;2;652;78;16;0.23348;0.91334;0.39325;0.82853
6;1;6;20;8;2;652;78;17;0.28468;0.88593;0.52759;0.82372
6;1;6;20;8;2;652;78;18;0.24551;0.90357;0.53690;0.85096
6;1;6;20;8;2;652;78;19;0.33670;0.85429;0.59615;0.76603
6;1;6;20;8;2;652;78;20;0.28848;0.88344;0.53110;0.80128
6;1;6;20;16;2;326;39;1;0.19726;0.92446;0.44905;0.83013
6;1;6;20;16;2;326;39;2;0.17798;0.93501;0.63500;0.76763
6;1;6;20;16;2;326;39;3;0.17689;0.93213;0.45969;0.85417
6;1;6;20;16;2;326;39;4;0.16051;0.94268;0.42620;0.85577
6;1;6;20;16;2;326;39;5;0.15605;0.94018;0.49759;0.78365
6;1;6;20;16;2;326;39;6;0.15822;0.93903;0.78424;0.72596
6;1;6;20;16;2;326;39;7;0.14757;0.94977;1.21521;0.71314
6;1;6;20;16;2;326;39;8;0.14818;0.95111;0.95462;0.74840
6;1;6;20;16;2;326;39;9;0.13849;0.95265;0.63446;0.83654
6;1;6;20;16;2;326;39;10;0.14030;0.94977;1.29871;0.69551
6;1;6;20;16;2;326;39;11;0.13519;0.95130;0.30561;0.87179
6;1;6;20;16;2;326;39;12;0.15168;0.94651;0.41391;0.83173
6;1;6;20;16;2;326;39;13;0.14826;0.94785;1.17616;0.63942
6;1;6;20;16;2;326;39;14;0.15483;0.94248;0.69865;0.82853
6;1;6;20;16;2;326;39;15;0.13417;0.95571;0.30273;0.88301
6;1;6;20;16;2;326;39;16;0.12955;0.95552;0.60178;0.81571
6;1;6;20;16;2;326;39;17;0.13755;0.95265;0.48955;0.85096
6;1;6;20;16;2;326;39;18;0.12159;0.95782;0.75763;0.80449
6;1;6;20;16;2;326;39;19;0.12740;0.95552;0.51499;0.84135
6;1;6;20;16;2;326;39;20;0.11753;0.95936;0.46131;0.85737
