Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
8;2;1;30;16;3;326;39;1;0.36174;0.84222;5.69256;0.62500
8;2;1;30;16;3;326;39;2;0.28337;0.88113;13.93927;0.62500
8;2;1;30;16;3;326;39;3;0.24249;0.90222;1.01137;0.72917
8;2;1;30;16;3;326;39;4;0.23450;0.90491;6.04091;0.62500
8;2;1;30;16;3;326;39;5;0.22259;0.91104;0.73587;0.75801
8;2;1;30;16;3;326;39;6;0.20576;0.91948;1.05424;0.76122
8;2;1;30;16;3;326;39;7;0.19068;0.92312;0.79769;0.76122
8;2;1;30;16;3;326;39;8;0.19759;0.92235;0.93910;0.71635
8;2;1;30;16;3;326;39;9;0.19028;0.92293;0.36052;0.87340
8;2;1;30;16;3;326;39;10;0.18091;0.92945;0.98437;0.69391
8;2;1;30;16;3;326;39;11;0.17779;0.93386;1.22072;0.70994
8;2;1;30;16;3;326;39;12;0.17421;0.93271;0.26058;0.89744
8;2;1;30;16;3;326;39;13;0.16556;0.93865;0.33678;0.88622
8;2;1;30;16;3;326;39;14;0.16829;0.93635;4.53460;0.63942
8;2;1;30;16;3;326;39;15;0.17314;0.93424;0.55219;0.78846
8;2;1;30;16;3;326;39;16;0.14550;0.94843;1.21824;0.69391
8;2;1;30;16;3;326;39;17;0.14263;0.94498;0.29905;0.88942
8;2;1;30;16;3;326;39;18;0.15276;0.94095;2.16060;0.71474
8;2;1;30;16;3;326;39;19;0.14982;0.94038;1.39341;0.71635
8;2;1;30;16;3;326;39;20;0.15368;0.94344;1.06609;0.74840
8;2;1;30;16;3;326;39;21;0.13828;0.94440;0.85216;0.83173
8;2;1;30;16;3;326;39;22;0.13652;0.94709;0.44059;0.86859
8;2;1;30;16;3;326;39;23;0.13543;0.94843;0.96589;0.76763
8;2;1;30;16;3;326;39;24;0.13500;0.95015;0.34727;0.85256
8;2;1;30;16;3;326;39;25;0.13516;0.94996;0.35032;0.88942
8;2;1;30;16;3;326;39;26;0.12298;0.95667;0.46530;0.86378
8;2;1;30;16;3;326;39;27;0.12168;0.95188;0.34499;0.86058
8;2;1;30;16;3;326;39;28;0.13001;0.95150;0.37459;0.84936
8;2;1;30;16;3;326;39;29;0.11445;0.95974;1.40971;0.71795
8;2;1;30;16;3;326;39;30;0.11330;0.95840;0.55953;0.83814
