Group Model;Process;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
5;1;5;20;8;2;652;78;1;0.43527;0.79831;1.08444;0.67788
5;1;5;20;8;2;652;78;2;0.34325;0.85295;1.80143;0.62500
5;1;5;20;8;2;652;78;3;0.30775;0.86810;1.24558;0.62500
5;1;5;20;8;2;652;78;4;0.30543;0.87462;0.57322;0.76442
5;1;5;20;8;2;652;78;5;0.28862;0.88133;0.42441;0.81090
5;1;5;20;8;2;652;78;6;0.29522;0.87692;0.93794;0.67308
5;1;5;20;8;2;652;78;7;0.26744;0.89110;0.57640;0.80288
5;1;5;20;8;2;652;78;8;0.26894;0.89072;1.00348;0.73077
5;1;5;20;8;2;652;78;9;0.24199;0.90548;1.24445;0.68910
5;1;5;20;8;2;652;78;10;0.25809;0.89858;0.78328;0.75962
5;1;5;20;8;2;652;78;11;0.25118;0.89896;0.89430;0.74840
5;1;5;20;8;2;652;78;12;0.23824;0.90740;0.62158;0.76122
5;1;5;20;8;2;652;78;13;0.25135;0.89609;0.57091;0.78045
5;1;5;20;8;2;652;78;14;0.23804;0.90222;0.85905;0.75641
5;1;5;20;8;2;652;78;15;0.23959;0.90817;2.84611;0.62500
5;1;5;20;8;2;652;78;16;0.23218;0.91143;0.73113;0.71955
5;1;5;20;8;2;652;78;17;0.23812;0.90050;0.64254;0.81731
5;1;5;20;8;2;652;78;18;0.21972;0.91603;0.69521;0.79167
5;1;5;20;8;2;652;78;19;0.20661;0.92465;1.53837;0.78365
5;1;5;20;8;2;652;78;20;0.21410;0.91910;0.47329;0.84295
5;1;5;20;16;2;326;39;1;0.17907;0.93232;0.82499;0.86859
5;1;5;20;16;2;326;39;2;0.16220;0.94076;0.74614;0.74199
5;1;5;20;16;2;326;39;3;0.15615;0.94133;0.47274;0.85096
5;1;5;20;16;2;326;39;4;0.15787;0.94459;0.44298;0.84455
5;1;5;20;16;2;326;39;5;0.15957;0.94248;2.08540;0.82212
5;1;5;20;16;2;326;39;6;0.16020;0.94133;0.77704;0.77244
5;1;5;20;16;2;326;39;7;0.14145;0.94344;0.49729;0.83974
