Group Model;Process;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
1;1;1;20;8;2;652;78;1;0.38127;0.83416;7.98068;0.37500
1;1;1;20;8;2;652;78;2;0.34636;0.85219;1.24468;0.54968
1;1;1;20;8;2;652;78;3;0.26646;0.88957;0.71028;0.80288
1;1;1;20;8;2;652;78;4;0.25370;0.89532;2.33420;0.64423
1;1;1;20;8;2;652;78;5;0.25575;0.89264;3.18126;0.65064
1;1;1;20;8;2;652;78;6;0.24421;0.90031;1.62997;0.65224
1;1;1;20;8;2;652;78;7;0.24521;0.90050;0.46327;0.84776
1;1;1;20;8;2;652;78;8;0.22587;0.90932;0.53644;0.78045
1;1;1;20;8;2;652;78;9;0.20630;0.92005;0.41124;0.88141
1;1;1;20;8;2;652;78;10;0.22040;0.91277;0.47509;0.80449
1;1;1;20;8;2;652;78;11;0.19526;0.92465;0.34804;0.86058
1;1;1;20;8;2;652;78;12;0.19722;0.92523;0.46945;0.83654
1;1;1;20;8;2;652;78;13;0.19116;0.92465;0.32996;0.87981
1;1;1;20;8;2;652;78;14;0.18671;0.92427;0.43219;0.87981
1;1;1;20;8;2;652;78;15;0.19391;0.92523;0.44100;0.86538
1;1;1;20;8;2;652;78;16;0.18267;0.92926;0.48522;0.80449
1;1;1;20;8;2;652;78;17;0.16698;0.93616;1.33807;0.83494
1;1;1;20;8;2;652;78;18;0.18868;0.92791;0.86740;0.84936
1;1;1;20;8;2;652;78;19;0.18387;0.93079;0.34134;0.86058
1;1;1;20;8;2;652;78;20;0.17121;0.93635;0.29661;0.89263
1;1;1;20;16;2;326;39;1;0.13472;0.95341;0.56239;0.82212
1;1;1;20;16;2;326;39;2;0.12734;0.95226;0.96465;0.78045
1;1;1;20;16;2;326;39;3;0.12789;0.95188;0.76468;0.79487
1;1;1;20;16;2;326;39;4;0.13241;0.94977;0.27548;0.90385
1;1;1;20;16;2;326;39;5;0.12852;0.95265;0.26243;0.88782
1;1;1;20;16;2;326;39;6;0.13068;0.95130;0.43311;0.88301
1;1;1;20;16;2;326;39;7;0.11853;0.95667;0.37445;0.87179
1;1;1;20;16;2;326;39;8;0.11200;0.95725;0.71845;0.87179
1;1;1;20;16;2;326;39;9;0.12306;0.95475;0.24431;0.92147
1;1;1;20;16;2;326;39;10;0.11529;0.95840;1.46930;0.72436
1;1;1;20;16;2;326;39;11;0.12307;0.95303;0.47650;0.81731
1;1;1;20;16;2;326;39;12;0.11775;0.95418;0.90350;0.79167
1;1;1;20;16;2;326;39;13;0.11740;0.95514;0.44699;0.89103
1;1;1;20;16;2;326;39;14;0.11306;0.95725;0.38830;0.85737
1;1;1;20;16;2;326;39;15;0.10673;0.95993;0.35347;0.89904
1;1;1;20;16;2;326;39;16;0.11306;0.96012;1.40696;0.74038
1;1;1;20;16;2;326;39;17;0.11290;0.96031;0.60679;0.84455
1;1;1;20;16;2;326;39;18;0.12806;0.95092;0.52540;0.84615
1;1;1;20;16;2;326;39;19;0.10922;0.96166;0.30359;0.89263
1;1;1;20;16;2;326;39;20;0.11176;0.95686;0.70034;0.83333
1;2;1;20;8;3;652;78;1;0.42167;0.81077;10.61567;0.62500
1;2;1;20;8;3;652;78;2;0.36108;0.84528;0.70161;0.66827
1;2;1;20;8;3;652;78;3;0.31067;0.86599;2.08914;0.62500
