Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
9;1;9;20;8;2;652;78;1;0.40840;0.81768;0.57412;0.78205
9;1;9;20;8;2;652;78;2;0.36526;0.84317;2.14477;0.62500
9;1;9;20;8;2;652;78;3;0.30044;0.87692;0.42886;0.81731
9;1;9;20;8;2;652;78;4;0.28945;0.87845;0.59336;0.73558
9;1;9;20;8;2;652;78;5;0.26921;0.88669;1.20839;0.66346
9;1;9;20;8;2;652;78;6;0.25226;0.90107;1.85873;0.71474
9;1;9;20;8;2;652;78;7;0.23638;0.90357;6.55355;0.73718
9;1;9;20;8;2;652;78;8;0.23641;0.90127;3.75030;0.77885
9;1;9;20;8;2;652;78;9;0.23532;0.90107;1.12970;0.81731
9;1;9;20;8;2;652;78;10;0.27152;0.88439;4.86114;0.67949
9;1;9;20;8;2;652;78;11;0.22432;0.90740;0.95687;0.74519
9;1;9;20;8;2;652;78;12;0.23139;0.90510;0.51735;0.83814
9;1;9;20;8;2;652;78;13;0.23479;0.90357;0.40766;0.84135
9;1;9;20;8;2;652;78;14;0.23994;0.90376;0.66993;0.79487
9;1;9;20;8;2;652;78;15;0.23162;0.90721;0.94726;0.73718
9;1;9;20;8;2;652;78;16;0.22589;0.91123;0.48418;0.81410
9;1;9;20;8;2;652;78;17;0.19303;0.92408;0.48913;0.84776
9;1;9;20;8;2;652;78;18;0.18356;0.92753;0.64234;0.82853
9;1;9;20;8;2;652;78;19;0.22145;0.91258;0.60210;0.85577
9;1;9;20;8;2;652;78;20;0.20044;0.92331;0.64018;0.83974
9;1;9;20;16;2;326;39;1;0.15223;0.94383;0.44420;0.86378
9;1;9;20;16;2;326;39;2;0.14306;0.94747;0.51664;0.87179
9;1;9;20;16;2;326;39;3;0.18288;0.93098;0.31763;0.87179
9;1;9;20;16;2;326;39;4;0.17793;0.93002;0.35401;0.87660
9;1;9;20;16;2;326;39;5;0.15023;0.94229;0.65857;0.76442
9;1;9;20;16;2;326;39;6;0.15214;0.94287;0.67685;0.84455
9;1;9;20;16;2;326;39;7;0.13699;0.95015;0.63107;0.81891
9;1;9;20;16;2;326;39;8;0.19477;0.92350;0.95495;0.77244
9;1;9;20;16;2;326;39;9;0.16232;0.93808;0.35641;0.87019
9;1;9;20;16;2;326;39;10;0.15090;0.94479;0.86103;0.80128
9;1;9;20;16;2;326;39;11;0.15577;0.94363;0.35199;0.88141
9;1;9;20;16;2;326;39;12;0.13561;0.94900;0.65793;0.85897
9;1;9;20;16;2;326;39;13;0.14918;0.94498;0.62855;0.77564
9;1;9;20;16;2;326;39;14;0.14566;0.94651;0.56170;0.84936
9;1;9;20;16;2;326;39;15;0.13099;0.94824;0.45172;0.84936
9;1;9;20;16;2;326;39;16;0.13953;0.94728;0.45440;0.86058
9;1;9;20;16;2;326;39;17;0.12661;0.95073;0.85207;0.75160
9;1;9;20;16;2;326;39;18;0.14383;0.94939;0.48153;0.80609
9;1;9;20;16;2;326;39;19;0.14941;0.94651;0.49172;0.85737
9;1;9;20;16;2;326;39;20;0.13829;0.94824;0.57364;0.82853
