Group Model;Process;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
4;1;4;20;8;2;652;78;1;0.68836;0.66929;0.70524;0.62500
4;1;4;20;8;2;652;78;2;0.60494;0.71472;1.32991;0.62500
4;1;4;20;8;2;652;78;3;0.55163;0.74540;0.63594;0.63622
4;1;4;20;8;2;652;78;4;0.41708;0.81538;0.54847;0.76603
4;1;4;20;8;2;652;78;5;0.37125;0.84164;0.57056;0.76282
4;1;4;20;8;2;652;78;6;0.33441;0.85870;0.45723;0.79006
4;1;4;20;8;2;652;78;7;0.43232;0.80311;0.51638;0.71635
4;1;4;20;8;2;652;78;8;0.36653;0.83819;0.45063;0.83013
4;1;4;20;8;2;652;78;9;0.29008;0.88037;0.94918;0.65064
4;1;4;20;8;2;652;78;10;0.28488;0.87845;0.45575;0.83654
4;1;4;20;8;2;652;78;11;0.28715;0.88344;0.79326;0.66987
4;1;4;20;8;2;652;78;12;0.24335;0.90146;0.54769;0.85897
4;1;4;20;8;2;652;78;13;0.27469;0.89034;0.53382;0.80929
4;1;4;20;8;2;652;78;14;0.26760;0.89360;1.12119;0.83333
4;1;4;20;8;2;652;78;15;0.28138;0.88439;0.73101;0.73397
4;1;4;20;8;2;652;78;16;0.25580;0.89686;1.32539;0.83333
4;1;4;20;8;2;652;78;17;0.23889;0.90625;0.91868;0.80288
4;1;4;20;8;2;652;78;18;0.24665;0.90337;0.62020;0.79968
4;1;4;20;8;2;652;78;19;0.23759;0.90107;0.40429;0.85577
4;1;4;20;8;2;652;78;20;0.34206;0.85832;0.49201;0.86058
4;1;4;20;16;2;326;39;1;0.22342;0.91066;0.42926;0.85096
4;1;4;20;16;2;326;39;2;0.20381;0.92274;0.69019;0.73397
4;1;4;20;16;2;326;39;3;0.19948;0.92542;0.61063;0.78205
4;1;4;20;16;2;326;39;4;0.18457;0.93328;0.42539;0.86699
4;1;4;20;16;2;326;39;5;0.17639;0.93846;1.12192;0.84135
4;1;4;20;16;2;326;39;6;0.17628;0.92964;0.53024;0.86699
4;1;4;20;16;2;326;39;7;0.17563;0.94057;0.50055;0.83013
4;1;4;20;16;2;326;39;8;0.16069;0.94114;0.52247;0.80929
4;1;4;20;16;2;326;39;9;0.16389;0.93443;0.45640;0.82692
4;1;4;20;16;2;326;39;10;0.15419;0.94651;1.07073;0.84776
4;1;4;20;16;2;326;39;11;0.16405;0.93923;0.46899;0.83654
4;1;4;20;16;2;326;39;12;0.15301;0.94421;187.18066;0.82853
4;1;4;20;16;2;326;39;13;0.15068;0.94402;0.40340;0.82532
4;1;4;20;16;2;326;39;14;0.14741;0.94517;0.65139;0.83814
4;1;4;20;16;2;326;39;15;0.16001;0.94191;0.52335;0.84295
4;1;4;20;16;2;326;39;16;0.15858;0.93731;0.30694;0.87660
4;1;4;20;16;2;326;39;17;0.15969;0.93884;0.59407;0.79487
4;1;4;20;16;2;326;39;18;0.14614;0.94536;0.58322;0.82853
4;1;4;20;16;2;326;39;19;0.15565;0.94383;0.62232;0.80929
4;1;4;20;16;2;326;39;20;0.15004;0.94517;0.66218;0.83654
4;2;4;20;8;3;652;78;1;0.66590;0.67772;2.49534;0.62500
4;2;4;20;8;3;652;78;2;0.60885;0.71357;1.36844;0.62500
4;2;4;20;8;3;652;78;3;0.58713;0.73083;0.72607;0.62500
4;2;4;20;8;3;652;78;4;0.49002;0.76495;1.10096;0.72756
4;2;4;20;8;3;652;78;5;0.35357;0.84337;0.46468;0.78686
4;2;4;20;8;3;652;78;6;0.30889;0.86426;0.46367;0.78686
4;2;4;20;8;3;652;78;7;0.31125;0.86829;1.36198;0.65545
4;2;4;20;8;3;652;78;8;0.29781;0.87692;0.38039;0.83814
4;2;4;20;8;3;652;78;9;0.28023;0.88248;0.45948;0.80929
4;2;4;20;8;3;652;78;10;0.27301;0.88152;0.86905;0.67628
4;2;4;20;8;3;652;78;11;0.28738;0.88574;0.39065;0.81410
4;2;4;20;8;3;652;78;12;0.26528;0.89225;0.58048;0.84295
4;2;4;20;8;3;652;78;13;0.25220;0.89992;0.40901;0.81891
4;2;4;20;8;3;652;78;14;0.24788;0.90165;0.41268;0.83173
4;2;4;20;8;3;652;78;15;0.25219;0.90683;1.06097;0.74519
4;2;4;20;8;3;652;78;16;0.22585;0.91334;0.43115;0.83494
4;2;4;20;8;3;652;78;17;0.22719;0.91028;21.16074;0.85096
4;2;4;20;8;3;652;78;18;0.21390;0.91948;0.45318;0.85417
4;2;4;20;8;3;652;78;19;0.22483;0.91469;1.65548;0.84455
4;2;4;20;8;3;652;78;20;0.22459;0.91871;5.06280;0.83814
4;2;4;20;16;3;326;39;1;0.18875;0.92370;0.59568;0.76442
4;2;4;20;16;3;326;39;2;0.18022;0.92945;0.52624;0.81250
4;2;4;20;16;3;326;39;3;0.16763;0.93654;0.41952;0.86538
4;2;4;20;16;3;326;39;4;0.16940;0.93539;0.50703;0.84135
4;2;4;20;16;3;326;39;5;0.17500;0.93597;0.39136;0.86378
4;2;4;20;16;3;326;39;6;0.16306;0.93827;0.51638;0.86218
4;2;4;20;16;3;326;39;7;0.16708;0.93577;0.49768;0.85737
4;2;4;20;16;3;326;39;8;0.16842;0.93520;0.85308;0.82051
4;2;4;20;16;3;326;39;9;0.17316;0.93846;0.45805;0.84135
4;2;4;20;16;3;326;39;10;0.16283;0.93846;0.91295;0.86538
4;2;4;20;16;3;326;39;11;0.16310;0.93673;0.41151;0.83814
4;2;4;20;16;3;326;39;12;0.16465;0.93827;0.50872;0.85417
4;2;4;20;16;3;326;39;13;0.15671;0.94057;568.41327;0.86218
4;2;4;20;16;3;326;39;14;0.15777;0.94038;0.36648;0.85577
