Group Model;Process;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
3;1;3;20;8;2;652;78;1;0.37703;0.83436;0.43015;0.81410
3;1;3;20;8;2;652;78;2;0.28024;0.88420;1.77275;0.62500
3;1;3;20;8;2;652;78;3;0.27769;0.88420;1.02135;0.64423
3;1;3;20;8;2;652;78;4;0.25909;0.89609;1.58888;0.75641
3;1;3;20;8;2;652;78;5;0.24617;0.89820;4.68158;0.62500
3;1;3;20;8;2;652;78;6;0.22775;0.91085;0.81085;0.69391
3;1;3;20;8;2;652;78;7;0.22008;0.91775;3.59295;0.62500
3;1;3;20;8;2;652;78;8;0.23505;0.90644;0.35015;0.85897
3;1;3;20;8;2;652;78;9;0.22206;0.91162;2.67861;0.62660
3;1;3;20;8;2;652;78;10;0.20881;0.91756;4.47528;0.70353
3;1;3;20;8;2;652;78;11;0.21347;0.91085;0.65083;0.84455
3;1;3;20;8;2;652;78;12;0.20642;0.91871;4.95995;0.62500
3;1;3;20;8;2;652;78;13;0.20847;0.91833;1.15275;0.74519
3;1;3;20;8;2;652;78;14;0.18558;0.92753;16.47091;0.64583
3;1;3;20;8;2;652;78;15;0.18384;0.92485;0.30068;0.89904
3;1;3;20;8;2;652;78;16;0.18846;0.93060;8.55687;0.86218
3;1;3;20;8;2;652;78;17;0.18954;0.93232;2.02958;0.81090
3;1;3;20;8;2;652;78;18;0.20024;0.92561;0.49540;0.90064
3;1;3;20;8;2;652;78;19;0.17050;0.93769;0.67083;0.85256
3;1;3;20;8;2;652;78;20;0.19722;0.92887;5.01052;0.62660
3;1;3;20;16;2;326;39;1;0.14812;0.94440;0.34546;0.87821
3;1;3;20;16;2;326;39;2;0.13648;0.95092;1.10317;0.68109
3;1;3;20;16;2;326;39;3;0.13140;0.94862;0.91875;0.79808
3;1;3;20;16;2;326;39;4;0.13482;0.94977;0.32160;0.88301
3;1;3;20;16;2;326;39;5;0.13444;0.94728;0.43464;0.87660
3;1;3;20;16;2;326;39;6;0.13510;0.95054;7.61207;0.78205
3;1;3;20;16;2;326;39;7;0.13318;0.95245;1.15837;0.72917
3;1;3;20;16;2;326;39;8;0.13252;0.94919;0.32713;0.88782
3;1;3;20;16;2;326;39;9;0.11943;0.95590;0.43724;0.87179
3;1;3;20;16;2;326;39;10;0.12869;0.95226;1.05069;0.73397
3;1;3;20;16;2;326;39;11;0.11835;0.95495;2.86088;0.89423
3;1;3;20;16;2;326;39;12;0.11756;0.95955;0.96084;0.87981
3;1;3;20;16;2;326;39;13;0.11813;0.95590;6.62194;0.85577
3;1;3;20;16;2;326;39;14;0.10558;0.96281;2.11834;0.74519
3;1;3;20;16;2;326;39;15;0.10915;0.95801;2.57164;0.73558
3;1;3;20;16;2;326;39;16;0.10532;0.96319;0.70738;0.86378
3;1;3;20;16;2;326;39;17;0.09855;0.96453;1.31004;0.80449
3;1;3;20;16;2;326;39;18;0.10834;0.95955;2.64171;0.68109
3;1;3;20;16;2;326;39;19;0.10329;0.96031;0.98632;0.84455
3;1;3;20;16;2;326;39;20;0.10327;0.96089;0.31218;0.88462
3;2;3;20;8;3;652;78;1;0.37324;0.83052;1.01506;0.70994
3;2;3;20;8;3;652;78;2;0.27217;0.89168;0.34868;0.85256
3;2;3;20;8;3;652;78;3;0.24015;0.90702;0.35458;0.83814
3;2;3;20;8;3;652;78;4;0.21712;0.91794;1.88709;0.63942
3;2;3;20;8;3;652;78;5;0.21593;0.91756;0.40946;0.85897
3;2;3;20;8;3;652;78;6;0.21899;0.91814;1.00517;0.69231
3;2;3;20;8;3;652;78;7;0.23041;0.91526;0.60755;0.80128
3;2;3;20;8;3;652;78;8;0.20674;0.91890;0.41213;0.87500
3;2;3;20;8;3;652;78;9;0.19604;0.92504;0.39689;0.86699
3;2;3;20;8;3;652;78;10;0.19481;0.92542;0.64570;0.80288
3;2;3;20;8;3;652;78;11;0.20474;0.91852;0.39519;0.85417
3;2;3;20;8;3;652;78;12;0.18676;0.93367;0.52536;0.84135
3;2;3;20;8;3;652;78;13;0.16393;0.93980;0.31520;0.88141
3;2;3;20;8;3;652;78;14;0.17662;0.93194;0.46732;0.86699
3;2;3;20;8;3;652;78;15;0.18453;0.93079;1.68561;0.72917
3;2;3;20;8;3;652;78;16;0.16316;0.93808;0.38705;0.87821
3;2;3;20;8;3;652;78;17;0.14770;0.94421;0.67886;0.81410
3;2;3;20;8;3;652;78;18;0.15847;0.94517;0.53157;0.88141
3;2;3;20;8;3;652;78;19;0.13854;0.94862;0.59933;0.80449
3;2;3;20;8;3;652;78;20;0.15222;0.94785;0.31275;0.88942
3;2;3;20;16;3;326;39;1;0.11762;0.95955;0.76761;0.79808
3;2;3;20;16;3;326;39;2;0.11425;0.95916;0.39440;0.85417
3;2;3;20;16;3;326;39;3;0.10574;0.96185;0.61752;0.83013
3;2;3;20;16;3;326;39;4;0.11150;0.95782;0.37291;0.87340
3;2;3;20;16;3;326;39;5;0.11361;0.95821;0.70630;0.83974
3;2;3;20;16;3;326;39;6;0.11694;0.96012;0.56581;0.80929
3;2;3;20;16;3;326;39;7;0.11273;0.95993;0.65254;0.79487
3;2;3;20;16;3;326;39;8;0.11225;0.95916;0.52588;0.82692
3;2;3;20;16;3;326;39;9;0.11291;0.95955;0.55395;0.81090
3;2;3;20;16;3;326;39;10;0.10824;0.96242;1.63652;0.65224
3;2;3;20;16;3;326;39;11;0.10163;0.96300;0.48626;0.82853
3;2;3;20;16;3;326;39;12;0.10516;0.95878;0.54159;0.80609
3;2;3;20;16;3;326;39;13;0.10802;0.96089;0.52037;0.76282
3;2;3;20;16;3;326;39;14;0.11684;0.95629;0.64336;0.87179
3;2;3;20;16;3;326;39;15;0.10480;0.96242;0.63788;0.79968
3;2;3;20;16;3;326;39;16;0.10451;0.95878;0.42890;0.86218
3;2;3;20;16;3;326;39;17;0.12550;0.95380;0.55171;0.81090
3;2;3;20;16;3;326;39;18;0.10007;0.96357;0.47458;0.84615
3;2;3;20;16;3;326;39;19;0.10380;0.96300;0.26615;0.89583
3;2;3;20;16;3;326;39;20;0.09836;0.96511;0.30505;0.89103
3;3;3;20;8;2;652;78;1;0.72379;0.74482;0.57272;0.66987
3;3;3;20;8;2;652;78;2;0.59843;0.77128;1441.78162;0.52083
3;3;3;20;8;2;652;78;3;0.99016;0.71357;62.30106;0.41026
3;3;3;20;8;2;652;78;4;0.61212;0.74156;3711.93799;0.55128
3;3;3;20;8;2;652;78;5;1.00287;0.67044;0.82759;0.60417
3;3;3;20;8;2;652;78;6;0.62829;0.71434;0.64740;0.57692
3;3;3;20;8;2;652;78;7;0.70615;0.69651;1.37104;0.62500
3;3;3;20;8;2;652;78;8;0.71401;0.69881;18.22112;0.62500
3;3;3;20;8;2;652;78;9;0.66549;0.70495;0.65871;0.65385
3;3;3;20;8;2;652;78;10;0.74940;0.73639;0.64001;0.73397
3;3;3;20;8;2;652;78;11;0.65328;0.77358;372.67017;0.43109
3;3;3;20;8;2;652;78;12;1.23790;0.74751;2913.13379;0.67147
3;3;3;20;8;2;652;78;13;0.61279;0.77742;0.64182;0.79006
3;3;3;20;8;2;652;78;14;0.56923;0.78259;5.90864;0.62500
3;3;3;20;8;2;652;78;15;0.59527;0.76169;91530.89062;0.63782
3;3;3;20;8;2;652;78;16;0.61282;0.77646;0.89619;0.67949
3;3;3;20;8;2;652;78;17;0.59796;0.79237;2.07507;0.69551
3;3;3;20;8;2;652;78;18;0.68172;0.78547;2.35512;0.64583
3;3;3;20;8;2;652;78;19;0.65330;0.80406;5.56805;0.62981
3;3;3;20;8;2;652;78;20;0.76981;0.79716;5387696.50000;0.62821
3;3;3;20;16;2;326;39;1;0.33767;0.86407;4171093.75000;0.61538
3;3;3;20;16;2;326;39;2;0.44696;0.80809;0.60737;0.72917
3;3;3;20;16;2;326;39;3;0.39036;0.83704;0.47709;0.80128
3;3;3;20;16;2;326;39;4;0.40089;0.83071;0.79263;0.64744
3;3;3;20;16;2;326;39;5;0.38880;0.83992;1715.85571;0.77404
3;3;3;20;16;2;326;39;6;0.41435;0.84854;0.55899;0.74840
3;3;3;20;16;2;326;39;7;0.35008;0.85890;2110.79199;0.64744
3;3;3;20;16;2;326;39;8;0.41351;0.86503;181.90851;0.80288
3;3;3;20;16;2;326;39;9;0.40976;0.86100;2.21046;0.72115
3;3;3;20;16;2;326;39;10;0.37253;0.86925;0.72831;0.80128
3;3;3;20;16;2;326;39;11;0.37058;0.87404;11623384.00000;0.46314
3;3;3;20;16;2;326;39;12;0.37440;0.87193;3527644160.00000;0.61859
3;3;3;20;16;2;326;39;13;0.75357;0.85640;1232.69250;0.68750
3;3;3;20;16;2;326;39;14;0.48841;0.86407;223.78641;0.62821
3;3;3;20;16;2;326;39;15;0.39031;0.87883;0.58725;0.80769
3;3;3;20;16;2;326;39;16;0.32786;0.88995;0.73412;0.72436
3;3;3;20;16;2;326;39;17;0.29259;0.89072;3086247264256.00000;0.39904
3;3;3;20;16;2;326;39;18;0.50500;0.86177;5590426.50000;0.56571
3;3;3;20;16;2;326;39;19;0.29382;0.89513;2840.25513;0.64904
3;3;3;20;16;2;326;39;20;0.33057;0.89532;2696.76123;0.68910
3;4;3;20;8;2;652;78;1;0.63544;0.77166;5.52261;0.70513
3;4;3;20;8;2;652;78;2;0.62804;0.81020;1.43945;0.66667
3;4;3;20;8;2;652;78;3;0.40592;0.85449;0.41311;0.82212
3;4;3;20;8;2;652;78;4;0.70198;0.83186;0.64489;0.82532
3;4;3;20;8;2;652;78;5;0.50165;0.85525;0.67930;0.81571
3;4;3;20;8;2;652;78;6;0.57836;0.84049;0.98364;0.77083
3;4;3;20;8;2;652;78;7;0.55620;0.84605;2.45390;0.65224
3;4;3;20;8;2;652;78;8;0.52835;0.86561;0.91014;0.75481
3;4;3;20;8;2;652;78;9;0.50376;0.86446;0.67144;0.80929
3;4;3;20;8;2;652;78;10;0.63147;0.86196;1.52871;0.74679
3;4;3;20;8;2;652;78;11;0.60881;0.85602;1.80293;0.84936
3;4;3;20;8;2;652;78;12;0.58095;0.86618;1.49014;0.57372
3;4;3;20;8;2;652;78;13;0.49947;0.85429;0.50434;0.86218
3;4;3;20;8;2;652;78;14;0.51387;0.86580;3477.54297;0.77564
3;4;3;20;8;2;652;78;15;0.60284;0.87193;97.27232;0.84776
3;4;3;20;8;2;652;78;16;0.43456;0.88344;1.98644;0.69391
3;4;3;20;8;2;652;78;17;0.81068;0.85506;0.95210;0.77083
3;4;3;20;8;2;652;78;18;0.40039;0.88535;2.12998;0.68590
3;4;3;20;8;2;652;78;19;0.41593;0.88957;0.70896;0.83814
3;4;3;20;8;2;652;78;20;0.72719;0.87308;3.29257;0.68910
3;4;3;20;16;2;326;39;1;0.30603;0.91104;0.46422;0.88942
3;4;3;20;16;2;326;39;2;0.22220;0.92427;1.02443;0.81891
3;4;3;20;16;2;326;39;3;0.19760;0.93290;0.71120;0.83333
3;4;3;20;16;2;326;39;4;0.21429;0.92964;0.43335;0.87019
3;4;3;20;16;2;326;39;5;0.25464;0.92370;0.76568;0.86058
3;4;3;20;16;2;326;39;6;0.26796;0.92197;1.36854;0.65385
3;4;3;20;16;2;326;39;7;0.29496;0.92197;1.24498;0.82532
3;4;3;20;16;2;326;39;8;0.36858;0.91085;1.08465;0.78365
3;4;3;20;16;2;326;39;9;0.31311;0.91794;1.62335;0.79968
3;4;3;20;16;2;326;39;10;0.22750;0.93424;0.58870;0.87660
3;4;3;20;16;2;326;39;11;0.61429;0.90510;1.01340;0.85577
3;4;3;20;16;2;326;39;12;0.39753;0.90740;1.83654;0.74519
3;4;3;20;16;2;326;39;13;0.39789;0.91584;3.12270;0.71154
3;4;3;20;16;2;326;39;14;0.24868;0.93098;0.49349;0.88622
3;4;3;20;16;2;326;39;15;0.27090;0.92619;0.41451;0.88782
3;4;3;20;16;2;326;39;16;0.37563;0.91507;1.46259;0.90545
3;4;3;20;16;2;326;39;17;0.33773;0.91718;0.52284;0.88462
3;4;3;20;16;2;326;39;18;0.21033;0.93808;0.46520;0.88942
3;4;3;20;16;2;326;39;19;0.24275;0.93424;1.45879;0.86538
3;4;3;20;16;2;326;39;20;0.43115;0.91737;1.77710;0.78045
