Group Model;Process;CNN;Epoch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Loss;Accuracy;Val_Loss;Val_Accuracy;Best Epoch;Duration
3;1;3;20;8;2;652;78;0.20024;0.92561;0.49540;0.90064;18;0:19:26.784422
3;1;3;20;16;2;326;39;0.11835;0.95495;2.86088;0.89423;11;0:37:10.431428
3;2;3;20;8;3;652;78;0.15222;0.94785;0.31275;0.88942;20;0:20:11.110189
3;2;3;20;16;3;326;39;0.10380;0.96300;0.26615;0.89583;19;0:36:42.140038
3;3;3;20;8;2;652;78;0.61279;0.77742;0.64182;0.79006;13;0:17:40.194015
3;3;3;20;16;2;326;39;0.39031;0.87883;0.58725;0.80769;15;0:33:25.366439
3;4;3;20;8;2;652;78;0.49947;0.85429;0.50434;0.86218;13;0:18:05.031924
3;4;3;20;16;2;326;39;0.37563;0.91507;1.46259;0.90545;16;0:34:12.650435
