Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
2;2;2;20;16;3;326;39;12;0.05686;0.98025;0.97504;0.81731
2;2;2;20;16;3;326;39;13;0.06169;0.97814;0.95410;0.81731
2;2;2;20;16;3;326;39;14;0.06122;0.97929;0.47485;0.86058
2;2;2;20;16;3;326;39;15;0.05548;0.97872;0.83352;0.84455
2;2;2;20;16;3;326;39;16;0.06172;0.97929;0.59717;0.84776
2;2;2;20;16;3;326;39;17;0.05947;0.97853;0.36339;0.89423
2;2;2;20;16;3;326;39;18;0.05655;0.98236;0.38403;0.85897
2;2;2;20;16;3;326;39;19;0.04567;0.98485;0.93690;0.81731
2;2;2;20;16;3;326;39;20;0.05428;0.98121;0.55994;0.83333
2;3;2;20;8;2;652;78;1;6.65337;0.73179;0.72369;0.62500
2;3;2;20;8;2;652;78;2;0.57327;0.74291;0.67563;0.62500
2;3;2;20;8;2;652;78;3;0.57281;0.74291;0.71526;0.62500
2;3;2;20;8;2;652;78;4;0.57436;0.74291;0.69286;0.62500
2;3;2;20;8;2;652;78;5;0.57394;0.74291;0.67256;0.62500
2;3;2;20;8;2;652;78;6;0.57392;0.74291;0.71355;0.62500
2;3;2;20;8;2;652;78;7;0.57339;0.74291;0.67735;0.62500
2;3;2;20;8;2;652;78;8;0.57285;0.74291;0.67571;0.62500
2;3;2;20;8;2;652;78;9;0.57540;0.74291;0.73326;0.62500
2;3;2;20;8;2;652;78;10;0.57302;0.74291;0.69890;0.62500
2;3;2;20;8;2;652;78;11;0.57476;0.74291;0.70469;0.62500
2;3;2;20;8;2;652;78;12;0.57318;0.74291;0.76681;0.62500
2;3;2;20;8;2;652;78;13;0.57370;0.74291;0.69932;0.62500
2;3;2;20;8;2;652;78;14;0.57455;0.74291;0.69780;0.62500
2;3;2;20;8;2;652;78;15;0.57368;0.74291;0.70860;0.62500
2;3;2;20;8;2;652;78;16;0.57311;0.74291;0.69247;0.62500
2;3;2;20;8;2;652;78;17;0.57459;0.74291;0.82385;0.62500
2;3;2;20;8;2;652;78;18;0.57445;0.74291;0.71897;0.62500
2;3;2;20;8;2;652;78;19;0.57348;0.74291;0.71879;0.62500
2;3;2;20;8;2;652;78;20;0.57346;0.74291;0.69706;0.62500
2;3;2;20;16;2;326;39;1;0.57285;0.74291;0.69674;0.62500
2;3;2;20;16;2;326;39;2;0.57096;0.74291;0.68966;0.62500
2;3;2;20;16;2;326;39;3;0.57309;0.74291;0.70691;0.62500
2;3;2;20;16;2;326;39;4;0.57145;0.74291;0.69637;0.62500
2;3;2;20;16;2;326;39;5;81.63263;0.73485;6.53557;0.62340
2;3;2;20;16;2;326;39;6;0.57241;0.74291;0.66891;0.62500
2;3;2;20;16;2;326;39;7;0.57248;0.74291;0.72052;0.62500
2;3;2;20;16;2;326;39;8;0.57244;0.74291;0.69372;0.62500
2;3;2;20;16;2;326;39;9;0.57382;0.74291;0.72496;0.62500
2;3;2;20;16;2;326;39;10;0.57199;0.74291;0.70540;0.62500
2;3;2;20;16;2;326;39;11;0.57201;0.74291;0.70873;0.62500
2;3;2;20;16;2;326;39;12;0.57238;0.74291;0.69148;0.62660
2;3;2;20;16;2;326;39;13;0.57229;0.74291;0.70496;0.62500
2;3;2;20;16;2;326;39;14;0.57232;0.74291;7.92798;0.62340
2;3;2;20;16;2;326;39;15;0.57321;0.74291;0.67620;0.62500
2;3;2;20;16;2;326;39;16;0.57313;0.74291;0.67574;0.62500
2;3;2;20;16;2;326;39;17;0.57286;0.74291;8.90368;0.62500
2;3;2;20;16;2;326;39;18;0.57307;0.74291;0.71001;0.62500
2;3;2;20;16;2;326;39;19;0.57220;0.74291;0.67396;0.62500
2;3;2;20;16;2;326;39;20;0.57306;0.74291;0.68370;0.62500
2;4;2;20;8;2;652;78;1;5.69784;0.73275;0.67153;0.62660
2;4;2;20;8;2;652;78;2;0.57244;0.74291;3587.35669;0.62981
2;4;2;20;8;2;652;78;3;0.57370;0.74291;3701.80078;0.62500
2;4;2;20;8;2;652;78;4;0.57557;0.74291;15944.67969;0.62660
2;4;2;20;8;2;652;78;5;0.57426;0.74291;19.83367;0.62660
2;4;2;20;8;2;652;78;6;0.57316;0.74291;3458.64185;0.62660
2;4;2;20;8;2;652;78;7;0.57348;0.74291;18382.94141;0.62500
2;4;2;20;8;2;652;78;8;0.57391;0.74291;0.72008;0.62660
2;4;2;20;8;2;652;78;9;0.57503;0.74291;0.66522;0.62660
2;4;2;20;8;2;652;78;10;0.57218;0.74291;0.75089;0.62500
2;4;2;20;8;2;652;78;11;0.57347;0.74310;0.72823;0.62500
2;4;2;20;8;2;652;78;12;18.05764;0.73524;0.67936;0.62500
2;4;2;20;8;2;652;78;13;0.57409;0.74291;0.67810;0.62660
2;4;2;20;8;2;652;78;14;0.57429;0.74291;0.70268;0.62500
2;4;2;20;8;2;652;78;15;0.57485;0.74291;0.72990;0.62500
2;4;2;20;8;2;652;78;16;0.57285;0.74291;0.68317;0.62500
2;4;2;20;8;2;652;78;17;0.57542;0.74291;0.69011;0.62500
2;4;2;20;8;2;652;78;18;0.57234;0.74291;0.71217;0.62500
2;4;2;20;8;2;652;78;19;0.57427;0.74291;0.69652;0.62500
2;4;2;20;8;2;652;78;20;0.57368;0.74291;0.73070;0.62500
2;4;2;20;16;2;326;39;1;0.57290;0.74291;0.68088;0.62500
2;4;2;20;16;2;326;39;2;0.57154;0.74291;0.66702;0.62500
2;4;2;20;16;2;326;39;3;0.57309;0.74291;0.70624;0.62500
2;4;2;20;16;2;326;39;4;0.57224;0.74291;0.69279;0.62500
2;4;2;20;16;2;326;39;5;0.57227;0.74291;0.67261;0.62500
2;4;2;20;16;2;326;39;6;0.57165;0.74291;0.70554;0.62500
2;4;2;20;16;2;326;39;7;0.57235;0.74291;0.73409;0.62500
2;4;2;20;16;2;326;39;8;0.57226;0.74291;0.71113;0.62500
2;4;2;20;16;2;326;39;9;0.57215;0.74291;0.71451;0.62500
2;4;2;20;16;2;326;39;10;0.57144;0.74291;0.67042;0.62660
2;4;2;20;16;2;326;39;11;0.57210;0.74291;0.68663;0.62500
2;4;2;20;16;2;326;39;12;0.57335;0.74291;0.68814;0.62500
2;4;2;20;16;2;326;39;13;0.57236;0.74291;0.66926;0.62500
2;4;2;20;16;2;326;39;14;0.57197;0.74291;0.70480;0.62500
2;4;2;20;16;2;326;39;15;0.57304;0.74291;0.71368;0.62500
2;4;2;20;16;2;326;39;16;0.57290;0.74291;0.69664;0.62500
2;4;2;20;16;2;326;39;17;0.57223;0.74291;0.68016;0.62500
2;4;2;20;16;2;326;39;18;0.57195;0.74291;0.68989;0.62500
2;4;2;20;16;2;326;39;19;0.57325;0.74291;0.67593;0.62500
2;4;2;20;16;2;326;39;20;0.57155;0.74291;0.70598;0.62500
