Group Model;Process;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
2;1;2;20;8;2;652;78;1;0.37046;0.83167;0.48284;0.78686
2;1;2;20;8;2;652;78;2;0.29252;0.87864;0.52745;0.77564
2;1;2;20;8;2;652;78;3;0.24546;0.89896;0.94366;0.67949
2;1;2;20;8;2;652;78;4;0.24568;0.90548;1.16006;0.65865
2;1;2;20;8;2;652;78;5;0.23481;0.90721;11.49874;0.62500
2;1;2;20;8;2;652;78;6;0.22213;0.91526;0.63355;0.79487
2;1;2;20;8;2;652;78;7;0.20457;0.92370;0.53880;0.84295
2;1;2;20;8;2;652;78;8;0.18828;0.92772;0.51084;0.81891
2;1;2;20;8;2;652;78;9;0.19245;0.92523;1.64534;0.77083
2;1;2;20;8;2;652;78;10;0.18848;0.92619;0.49913;0.86058
2;1;2;20;8;2;652;78;11;0.22045;0.91507;1.01324;0.75000
2;1;2;20;8;2;652;78;12;0.20439;0.91852;1.37935;0.75641
2;1;2;20;8;2;652;78;13;0.20582;0.92005;0.33066;0.87500
2;1;2;20;8;2;652;78;14;0.20380;0.92120;0.61648;0.83814
2;1;2;20;8;2;652;78;15;0.17843;0.93156;1.14498;0.75160
2;1;2;20;8;2;652;78;16;0.17323;0.93903;1.60113;0.79968
2;1;2;20;8;2;652;78;17;0.17155;0.93539;23.31781;0.71314
2;1;2;20;8;2;652;78;18;0.17512;0.93137;0.53120;0.89263
2;1;2;20;8;2;652;78;19;0.15944;0.93942;283.28391;0.65545
2;1;2;20;8;2;652;78;20;0.16547;0.93884;43.46601;0.81891
2;1;2;20;16;2;326;39;1;0.12863;0.95533;0.57385;0.83333
2;1;2;20;16;2;326;39;2;0.11161;0.96031;0.60045;0.83814
2;1;2;20;16;2;326;39;3;0.11180;0.96146;2.43684;0.85577
2;1;2;20;16;2;326;39;4;0.10785;0.96185;1.17002;0.81731
2;1;2;20;16;2;326;39;5;0.11282;0.96127;2.59427;0.85256
2;1;2;20;16;2;326;39;6;0.10756;0.96089;0.67563;0.78045
2;1;2;20;16;2;326;39;7;0.10849;0.96223;31.83548;0.81731
2;1;2;20;16;2;326;39;8;0.09821;0.96185;1.97907;0.88141
2;1;2;20;16;2;326;39;9;0.09663;0.96568;375.93744;0.65705
2;1;2;20;16;2;326;39;10;0.10712;0.96012;923.48328;0.66026
2;1;2;20;16;2;326;39;11;0.09457;0.96396;1.65670;0.64744
2;1;2;20;16;2;326;39;12;0.10299;0.96223;0.54548;0.84776
2;1;2;20;16;2;326;39;13;0.08794;0.96626;0.78556;0.77885
2;1;2;20;16;2;326;39;14;0.09805;0.96530;5.80777;0.83173
2;1;2;20;16;2;326;39;15;0.09179;0.96607;65.33575;0.75321
2;1;2;20;16;2;326;39;16;0.09145;0.96760;0.78416;0.79487
2;1;2;20;16;2;326;39;17;0.10229;0.96357;2.29296;0.85737
2;1;2;20;16;2;326;39;18;0.09066;0.96798;0.39282;0.85897
2;1;2;20;16;2;326;39;19;0.09099;0.96952;0.56749;0.83494
2;1;2;20;16;2;326;39;20;0.08229;0.96971;0.69046;0.87981
2;2;2;20;8;3;652;78;1;0.38316;0.83915;1.25596;0.63782
2;2;2;20;8;3;652;78;2;0.26804;0.89628;0.60279;0.79647
2;2;2;20;8;3;652;78;3;0.25515;0.89935;0.52070;0.78045
2;2;2;20;8;3;652;78;4;0.24921;0.89954;0.31975;0.87660
2;2;2;20;8;3;652;78;5;0.22008;0.91449;0.51814;0.84776
2;2;2;20;8;3;652;78;6;0.20145;0.92926;4.09229;0.62500
2;2;2;20;8;3;652;78;7;0.21860;0.91603;2.20615;0.64263
2;2;2;20;8;3;652;78;8;0.20127;0.92619;0.40002;0.86378
2;2;2;20;8;3;652;78;9;0.19458;0.92926;0.75138;0.74359
2;2;2;20;8;3;652;78;10;0.18249;0.93213;0.34869;0.86699
2;2;2;20;8;3;652;78;11;0.17709;0.93271;0.55809;0.85256
2;2;2;20;8;3;652;78;12;0.16076;0.94268;0.66777;0.83013
2;2;2;20;8;3;652;78;13;0.15534;0.94133;4.19715;0.76122
2;2;2;20;8;3;652;78;14;0.16745;0.93865;0.96851;0.83333
2;2;2;20;8;3;652;78;15;0.25258;0.90203;0.86390;0.80288
2;2;2;20;8;3;652;78;16;0.18155;0.93520;0.59536;0.84615
2;2;2;20;8;3;652;78;17;0.15784;0.94536;0.44443;0.85577
2;2;2;20;8;3;652;78;18;0.16549;0.94229;1.13773;0.82692
2;2;2;20;8;3;652;78;19;0.15097;0.94709;1.46236;0.85096
2;2;2;20;8;3;652;78;20;0.15042;0.94479;0.56311;0.81571
2;2;2;20;16;3;326;39;1;0.11838;0.95686;0.45963;0.83654
2;2;2;20;16;3;326;39;2;0.10545;0.96204;0.50838;0.84135
2;2;2;20;16;3;326;39;3;0.10257;0.96223;0.64445;0.83654
2;2;2;20;16;3;326;39;4;0.10034;0.96472;0.66098;0.85577
2;2;2;20;16;3;326;39;5;0.10139;0.96760;0.66867;0.77244
2;2;2;20;16;3;326;39;6;0.08930;0.97124;0.45057;0.87500
2;2;2;20;16;3;326;39;7;0.09849;0.96607;0.82998;0.72756
2;2;2;20;16;3;326;39;8;0.09736;0.96702;1.54287;0.80929
2;2;2;20;16;3;326;39;9;0.09963;0.96587;0.46252;0.85417
2;2;2;20;16;3;326;39;10;0.09958;0.96070;0.57830;0.83814
2;2;2;20;16;3;326;39;11;0.08728;0.96626;0.71665;0.78526
2;2;2;20;16;3;326;39;12;0.08419;0.97028;0.45217;0.88622
2;2;2;20;16;3;326;39;13;0.09277;0.96779;0.67545;0.83333
2;2;2;20;16;3;326;39;14;0.08402;0.97124;0.32277;0.89744
2;2;2;20;16;3;326;39;15;0.08391;0.96875;5.59283;0.78365
2;2;2;20;16;3;326;39;16;0.07756;0.97182;0.58208;0.83333
2;2;2;20;16;3;326;39;17;0.11051;0.96146;0.57856;0.79327
2;2;2;20;16;3;326;39;18;0.10323;0.95955;1.05441;0.85897
2;2;2;20;16;3;326;39;19;0.08714;0.96779;0.75082;0.77885
2;2;2;20;16;3;326;39;20;0.08019;0.97048;5.95933;0.82212
2;3;2;20;8;2;652;78;1;0.75943;0.76725;1.33925;0.57212
2;3;2;20;8;2;652;78;2;0.62695;0.76802;24.88570;0.62660
2;3;2;20;8;2;652;78;3;0.64748;0.79141;3792.20825;0.36058
2;3;2;20;8;2;652;78;4;0.64624;0.77627;3.24227;0.23718
2;3;2;20;8;2;652;78;5;0.51878;0.79122;1.32671;0.69551
2;3;2;20;8;2;652;78;6;0.52200;0.79525;557.79340;0.63301
2;3;2;20;8;2;652;78;7;0.61912;0.77013;11198.57910;0.37821
2;3;2;20;8;2;652;78;8;0.59604;0.80464;2161.32642;0.24519
2;3;2;20;8;2;652;78;9;0.59389;0.80253;83401.37500;0.59455
2;3;2;20;8;2;652;78;10;0.61520;0.79045;2.72252;0.62500
2;3;2;20;8;2;652;78;11;0.54841;0.78240;1.48483;0.73397
2;3;2;20;8;2;652;78;12;0.46901;0.80560;7172.18896;0.40064
2;3;2;20;8;2;652;78;13;0.44546;0.82535;3.42748;0.54327
2;3;2;20;8;2;652;78;14;0.44481;0.82995;39.30164;0.65705
2;3;2;20;8;2;652;78;15;0.50644;0.82400;265.54608;0.42308
2;3;2;20;8;2;652;78;16;0.49733;0.84298;748.75134;0.79006
2;3;2;20;8;2;652;78;17;0.56290;0.82745;836405.87500;0.83494
2;3;2;20;8;2;652;78;18;0.46380;0.83857;21598.60352;0.63942
2;3;2;20;8;2;652;78;19;0.51433;0.84988;9329.63965;0.37981
2;3;2;20;8;2;652;78;20;0.42082;0.85449;225.85133;0.71314
2;3;2;20;16;2;326;39;1;0.25795;0.90088;2.40000;0.85577
2;3;2;20;16;2;326;39;2;0.22977;0.91334;13561.07227;0.77724
2;3;2;20;16;2;326;39;3;0.23988;0.91430;41.23924;0.82051
2;3;2;20;16;2;326;39;4;0.34041;0.89513;932.45502;0.84455
2;3;2;20;16;2;326;39;5;0.29018;0.90088;2636.30444;0.80288
2;3;2;20;16;2;326;39;6;1.02339;0.87883;83.14051;0.68109
2;3;2;20;16;2;326;39;7;0.28965;0.90395;0.78501;0.79167
2;3;2;20;16;2;326;39;8;0.24921;0.91047;1.00130;0.70673
2;3;2;20;16;2;326;39;9;0.37746;0.88669;538.51801;0.83013
2;3;2;20;16;2;326;39;10;0.32231;0.87577;115.59996;0.66026
2;3;2;20;16;2;326;39;11;0.27710;0.89686;429.82062;0.83974
2;3;2;20;16;2;326;39;12;0.42690;0.87078;14.02063;0.84615
2;3;2;20;16;2;326;39;13;0.30023;0.90012;28.28720;0.78846
2;3;2;20;16;2;326;39;14;0.25120;0.90817;1.31706;0.86859
2;3;2;20;16;2;326;39;15;0.27489;0.90107;2.38836;0.72596
2;3;2;20;16;2;326;39;16;0.31523;0.90740;13.72155;0.80288
2;3;2;20;16;2;326;39;17;0.41089;0.87347;1.38711;0.83173
2;3;2;20;16;2;326;39;18;0.35243;0.87826;702.59308;0.82212
2;3;2;20;16;2;326;39;19;0.25875;0.90510;0.59008;0.83974
2;3;2;20;16;2;326;39;20;0.27677;0.91315;0.62459;0.85577
2;4;2;20;8;2;652;78;1;0.71542;0.72431;0.67213;0.62660
2;4;2;20;8;2;652;78;2;0.80939;0.71933;4.04208;0.69712
2;4;2;20;8;2;652;78;3;0.63297;0.80962;1.31160;0.62019
2;4;2;20;8;2;652;78;4;0.71526;0.81768;5.83362;0.45032
2;4;2;20;8;2;652;78;5;0.51654;0.83225;3.09258;0.37500
2;4;2;20;8;2;652;78;6;0.44043;0.84260;6.49453;0.62981
2;4;2;20;8;2;652;78;7;0.58670;0.83819;1.77651;0.72756
2;4;2;20;8;2;652;78;8;0.52136;0.85429;0.46253;0.81891
2;4;2;20;8;2;652;78;9;0.42174;0.85794;2.53774;0.76122
2;4;2;20;8;2;652;78;10;0.58758;0.84548;0.65066;0.80769
2;4;2;20;8;2;652;78;11;0.51679;0.84317;3.69189;0.70353
2;4;2;20;8;2;652;78;12;0.94747;0.81327;1.91399;0.68590
2;4;2;20;8;2;652;78;13;0.35452;0.88075;0.43429;0.86378
2;4;2;20;8;2;652;78;14;0.43783;0.87097;201.39478;0.70192
2;4;2;20;8;2;652;78;15;0.49783;0.86311;1.17120;0.67468
2;4;2;20;8;2;652;78;16;0.49469;0.87692;0.78272;0.85256
2;4;2;20;8;2;652;78;17;0.40822;0.87883;1581.53992;0.81250
2;4;2;20;8;2;652;78;18;0.47926;0.87979;0.45493;0.85737
2;4;2;20;8;2;652;78;19;0.41611;0.87941;29.41710;0.88141
2;4;2;20;8;2;652;78;20;0.46870;0.88976;0.84903;0.84455
2;4;2;20;16;2;326;39;1;0.24756;0.92926;1.08435;0.79808
2;4;2;20;16;2;326;39;2;0.20669;0.93232;0.75485;0.82212
2;4;2;20;16;2;326;39;3;0.21973;0.93156;0.39114;0.89904
2;4;2;20;16;2;326;39;4;0.18417;0.93884;1.62947;0.84295
