Group Model;Process;CNN;Epoch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Loss;Accuracy;Val_Loss;Val_Accuracy;Best Epoch;Duration
2;1;2;20;8;2;652;78;0.17512;0.93137;0.53120;0.89263;18;0:17:41.828072
2;1;2;20;16;2;326;39;0.09821;0.96185;1.97907;0.88141;8;0:33:12.731578
2;2;2;20;8;3;652;78;0.24921;0.89954;0.31975;0.87660;4;0:17:38.734265
2;2;2;20;16;3;326;39;0.08402;0.97124;0.32277;0.89744;14;0:33:08.205803
2;3;2;20;8;2;652;78;0.56290;0.82745;836405.87500;0.83494;17;0:18:34.067146
2;3;2;20;16;2;326;39;0.25120;0.90817;1.31706;0.86859;14;0:36:04.501131
2;4;2;20;8;2;652;78;0.41611;0.87941;29.41710;0.88141;19;0:18:48.341823
2;4;2;20;16;2;326;39;0.21973;0.93156;0.39114;0.89904;3;0:35:30.391796
