Type Deep Layer;Process;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
10;1;10;20;8;1;652;78;1;0.44106;0.80176;0.51679;0.75321
10;1;10;20;8;1;652;78;2;0.29734;0.87500;0.45652;0.81571
10;1;10;20;8;1;652;78;3;0.27585;0.88075;0.38083;0.82853
10;1;10;20;8;1;652;78;4;0.24303;0.90107;0.34913;0.85256
10;1;10;20;8;1;652;78;5;0.23656;0.90031;0.45589;0.77724
10;1;10;20;8;1;652;78;6;0.21836;0.91200;0.55623;0.80609
10;1;10;20;8;1;652;78;7;0.20202;0.92178;0.42108;0.80288
10;1;10;20;8;1;652;78;8;0.20328;0.92216;0.60211;0.76282
10;1;10;20;8;1;652;78;9;0.20293;0.92350;0.38988;0.83333
10;1;10;20;8;1;652;78;10;0.18367;0.93021;0.64645;0.81571
10;1;10;20;8;1;652;78;11;0.17458;0.93482;0.39869;0.84135
10;1;10;20;8;1;652;78;12;0.17573;0.93232;0.48707;0.83974
10;1;10;20;8;1;652;78;13;0.16947;0.93443;0.61222;0.78526
10;1;10;20;8;1;652;78;14;0.17759;0.93482;0.40547;0.83013
10;1;10;20;8;1;652;78;15;0.16317;0.93673;0.41961;0.83654
10;1;10;20;8;1;652;78;16;0.15710;0.94095;0.42771;0.84936
10;1;10;20;8;1;652;78;17;0.15918;0.93865;0.68053;0.75160
10;1;10;20;8;1;652;78;18;0.16158;0.93846;0.34560;0.87019
10;1;10;20;8;1;652;78;19;0.15262;0.94133;0.59561;0.79006
10;1;10;20;8;1;652;78;20;0.15315;0.94172;0.63543;0.78045
10;1;10;20;16;1;326;39;1;0.13265;0.95150;0.60979;0.80929
10;1;10;20;16;1;326;39;2;0.14030;0.95092;0.45637;0.85737
10;1;10;20;16;1;326;39;3;0.12828;0.95150;0.47238;0.83173
10;1;10;20;16;1;326;39;4;0.13121;0.94824;0.51649;0.85096
10;1;10;20;16;1;326;39;5;0.12931;0.95188;0.58908;0.81571
10;1;10;20;16;1;326;39;6;0.11536;0.95706;0.50624;0.81891
10;1;10;20;16;1;326;39;7;0.12117;0.95514;0.38677;0.87340
10;1;10;20;16;1;326;39;8;0.12941;0.95245;0.38930;0.85417
10;1;10;20;16;1;326;39;9;0.13159;0.94862;0.43947;0.85737
10;1;10;20;16;1;326;39;10;0.13051;0.94996;0.50418;0.84135
10;1;10;20;16;1;326;39;11;0.11422;0.95763;0.47467;0.85897
10;1;10;20;16;1;326;39;12;0.12722;0.95092;0.46386;0.85417
10;1;10;20;16;1;326;39;13;0.11885;0.95456;0.46237;0.84135
10;1;10;20;16;1;326;39;14;0.11923;0.95840;0.45142;0.88462
10;1;10;20;16;1;326;39;15;0.11537;0.95993;0.39541;0.86218
10;1;10;20;16;1;326;39;16;0.11054;0.96127;0.53185;0.84936
10;1;10;20;16;1;326;39;17;0.11990;0.95571;0.47821;0.83974
10;1;10;20;16;1;326;39;18;0.10769;0.95916;0.54437;0.83814
10;1;10;20;16;1;326;39;19;0.11843;0.95763;0.77524;0.81731
10;1;10;20;16;1;326;39;20;0.10836;0.96012;0.54259;0.84776
