Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
4;4;10;10;16;2;326;39;1;0.34789;0.84279;1.61218;0.62660
4;4;10;10;16;2;326;39;2;0.24850;0.90012;0.65649;0.74840
4;4;10;10;16;2;326;39;3;0.22445;0.90874;0.51479;0.80128
4;4;10;10;16;2;326;39;4;0.20510;0.92005;0.90574;0.68109
4;4;10;10;16;2;326;39;5;0.19057;0.92772;0.90714;0.70994
4;4;10;10;16;2;326;39;6;0.18404;0.93271;0.36712;0.84936
4;4;10;10;16;2;326;39;7;0.18683;0.93079;0.31783;0.87340
4;4;10;10;16;2;326;39;8;0.16398;0.93462;0.89539;0.76923
4;4;10;10;16;2;326;39;9;0.17517;0.93424;0.48853;0.86538
4;4;10;10;16;2;326;39;10;0.14578;0.95015;0.61283;0.81731
