Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
7;2;1;30;16;3;326;39;1;0.35793;0.85008;18.29509;0.37500
7;2;1;30;16;3;326;39;2;0.26787;0.88554;6.70148;0.62500
7;2;1;30;16;3;326;39;3;0.24757;0.90203;3.16666;0.37500
7;2;1;30;16;3;326;39;4;0.23309;0.90778;0.41250;0.79167
7;2;1;30;16;3;326;39;5;0.21341;0.91488;0.80026;0.66346
7;2;1;30;16;3;326;39;6;0.21614;0.91334;0.38299;0.83013
7;2;1;30;16;3;326;39;7;0.19181;0.92465;1.44044;0.65705
7;2;1;30;16;3;326;39;8;0.18386;0.92811;1.41867;0.63942
7;2;1;30;16;3;326;39;9;0.20932;0.91948;1.25940;0.68109
7;2;1;30;16;3;326;39;10;0.18143;0.92849;0.71920;0.69231
7;2;1;30;16;3;326;39;11;0.16845;0.93462;3.35777;0.62500
7;2;1;30;16;3;326;39;12;0.16396;0.93443;0.32235;0.85737
7;2;1;30;16;3;326;39;13;0.17724;0.93386;0.41302;0.86859
7;2;1;30;16;3;326;39;14;0.16504;0.93424;1.05275;0.65545
7;2;1;30;16;3;326;39;15;0.16410;0.93577;1.18768;0.69551
7;2;1;30;16;3;326;39;16;0.16060;0.93942;0.51797;0.78045
7;2;1;30;16;3;326;39;17;0.15445;0.94095;1.96130;0.63942
7;2;1;30;16;3;326;39;18;0.14368;0.94344;1.24522;0.71955
7;2;1;30;16;3;326;39;19;0.16260;0.93884;0.54333;0.83814
7;2;1;30;16;3;326;39;20;0.14966;0.94268;1.07642;0.76122
7;2;1;30;16;3;326;39;21;0.13412;0.94785;0.34681;0.88301
7;2;1;30;16;3;326;39;22;0.13227;0.95111;0.27410;0.91186
7;2;1;30;16;3;326;39;23;0.14010;0.94804;0.49293;0.84615
7;2;1;30;16;3;326;39;24;0.12701;0.95284;0.33931;0.86058
7;2;1;30;16;3;326;39;25;0.12753;0.95590;0.65226;0.79327
7;2;1;30;16;3;326;39;26;0.12864;0.95265;13.83932;0.62500
7;2;1;30;16;3;326;39;27;0.14002;0.94689;0.51397;0.81410
7;2;1;30;16;3;326;39;28;0.12614;0.95380;0.27385;0.88141
7;2;1;30;16;3;326;39;29;0.11681;0.95629;0.82115;0.76923
7;2;1;30;16;3;326;39;30;0.12089;0.95629;0.35403;0.85737
