Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
9;9;1;30;16;3;326;39;1;0.33925;0.85372;0.56958;0.78365
9;9;1;30;16;3;326;39;2;0.21790;0.91258;0.41461;0.82853
9;9;1;30;16;3;326;39;3;0.18424;0.92446;0.61082;0.72596
9;9;1;30;16;3;326;39;4;0.17725;0.93194;0.39933;0.84936
9;9;1;30;16;3;326;39;5;0.15515;0.94306;0.43923;0.85256
9;9;1;30;16;3;326;39;6;0.15257;0.94383;0.46113;0.85737
9;9;1;30;16;3;326;39;7;0.13988;0.94747;0.80757;0.72596
9;9;1;30;16;3;326;39;8;0.13683;0.95073;0.40332;0.85256
9;9;1;30;16;3;326;39;9;0.13583;0.95245;0.44141;0.85737
9;9;1;30;16;3;326;39;10;0.11454;0.95495;0.59353;0.84295
9;9;1;30;16;3;326;39;11;0.12734;0.95207;0.45149;0.84135
9;9;1;30;16;3;326;39;12;0.11692;0.95495;0.53298;0.85577
9;9;1;30;16;3;326;39;13;0.11274;0.95763;0.49384;0.85256
9;9;1;30;16;3;326;39;14;0.11495;0.95667;0.83350;0.80929
9;9;1;30;16;3;326;39;15;0.11151;0.95840;0.32162;0.88301
9;9;1;30;16;3;326;39;16;0.10525;0.96281;0.35241;0.87821
9;9;1;30;16;3;326;39;17;0.10789;0.96146;0.61327;0.87340
9;9;1;30;16;3;326;39;18;0.10216;0.96300;0.36637;0.89744
9;9;1;30;16;3;326;39;19;0.10764;0.95878;0.67489;0.80929
9;9;1;30;16;3;326;39;20;0.11102;0.96242;0.81216;0.78686
9;9;1;30;16;3;326;39;21;0.10008;0.96185;0.51613;0.85256
9;9;1;30;16;3;326;39;22;0.10660;0.95840;0.37013;0.85577
9;9;1;30;16;3;326;39;23;0.10017;0.96204;0.43867;0.86699
9;9;1;30;16;3;326;39;24;0.09460;0.96664;0.32063;0.88622
9;9;1;30;16;3;326;39;25;0.09182;0.96702;0.38469;0.87660
9;9;1;30;16;3;326;39;26;0.09027;0.96530;0.48022;0.87179
9;9;1;30;16;3;326;39;27;0.09788;0.96185;0.76074;0.79006
9;9;1;30;16;3;326;39;28;0.09149;0.96626;0.44883;0.87179
9;9;1;30;16;3;326;39;29;0.08193;0.97009;0.58188;0.84135
9;9;1;30;16;3;326;39;30;0.08795;0.96741;0.47159;0.88942
