Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
6;6;10;30;16;2;326;39;1;0.33020;0.84988;0.63452;0.69712
6;6;10;30;16;2;326;39;2;0.25402;0.89225;0.39319;0.83013
6;6;10;30;16;2;326;39;3;0.21476;0.90874;0.59639;0.79647
6;6;10;30;16;2;326;39;4;0.21526;0.91469;0.36245;0.85096
6;6;10;30;16;2;326;39;5;0.20630;0.91929;0.32613;0.87821
6;6;10;30;16;2;326;39;6;0.18946;0.92715;0.31864;0.86378
6;6;10;30;16;2;326;39;7;0.17597;0.93098;0.57170;0.82212
6;6;10;30;16;2;326;39;8;0.17504;0.93788;1.30243;0.71795
6;6;10;30;16;2;326;39;9;0.17524;0.93443;0.57844;0.85737
6;6;10;30;16;2;326;39;10;0.16428;0.93654;0.59862;0.78526
6;6;10;30;16;2;326;39;11;0.16216;0.93424;0.40925;0.84936
6;6;10;30;16;2;326;39;12;0.14646;0.94133;0.75676;0.74840
6;6;10;30;16;2;326;39;13;0.16502;0.93865;0.61816;0.78365
6;6;10;30;16;2;326;39;14;0.15500;0.93942;0.58022;0.83814
6;6;10;30;16;2;326;39;15;0.15050;0.94498;0.96168;0.74199
6;6;10;30;16;2;326;39;16;0.14321;0.94804;0.65573;0.78526
6;6;10;30;16;2;326;39;17;0.12796;0.95571;0.56659;0.84776
6;6;10;30;16;2;326;39;18;0.12904;0.95073;0.72609;0.79808
6;6;10;30;16;2;326;39;19;0.13866;0.95226;0.36259;0.86538
6;6;10;30;16;2;326;39;20;0.12775;0.95188;0.71276;0.79647
6;6;10;30;16;2;326;39;21;0.12931;0.94977;0.35909;0.87981
6;6;10;30;16;2;326;39;22;0.13138;0.94900;0.57284;0.81731
6;6;10;30;16;2;326;39;23;0.13165;0.95130;0.77004;0.77564
6;6;10;30;16;2;326;39;24;0.11258;0.95744;0.46453;0.86538
6;6;10;30;16;2;326;39;25;0.12790;0.95552;0.41709;0.88301
6;6;10;30;16;2;326;39;26;0.11836;0.95706;0.62175;0.82532
6;6;10;30;16;2;326;39;27;0.11429;0.95821;0.32643;0.87660
6;6;10;30;16;2;326;39;28;0.11917;0.96051;0.55399;0.82051
6;6;10;30;16;2;326;39;29;0.11461;0.95897;0.51611;0.83013
6;6;10;30;16;2;326;39;30;0.11678;0.95648;0.45600;0.85096
