Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
5;5;10;20;16;2;326;39;1;0.34964;0.84337;1.57046;0.48558
5;5;10;20;16;2;326;39;2;0.27270;0.88765;1.40672;0.63622
5;5;10;20;16;2;326;39;3;0.23385;0.90452;0.38114;0.84135
5;5;10;20;16;2;326;39;4;0.20737;0.91641;1.13538;0.68750
5;5;10;20;16;2;326;39;5;0.21603;0.91584;0.84434;0.71154
5;5;10;20;16;2;326;39;6;0.19920;0.92370;0.59609;0.81090
5;5;10;20;16;2;326;39;7;0.19635;0.92370;0.39541;0.84615
5;5;10;20;16;2;326;39;8;0.19155;0.92504;0.52082;0.81250
5;5;10;20;16;2;326;39;9;0.17343;0.93328;0.29706;0.89904
5;5;10;20;16;2;326;39;10;0.16732;0.93692;0.35710;0.86218
5;5;10;20;16;2;326;39;11;0.16073;0.93750;0.39391;0.85256
5;5;10;20;16;2;326;39;12;0.14903;0.94574;0.45663;0.85417
5;5;10;20;16;2;326;39;13;0.16036;0.93424;0.65505;0.79808
5;5;10;20;16;2;326;39;14;0.14565;0.94344;0.38498;0.88622
5;5;10;20;16;2;326;39;15;0.14474;0.94958;0.58290;0.83494
5;5;10;20;16;2;326;39;16;0.14485;0.94785;0.48249;0.84135
5;5;10;20;16;2;326;39;17;0.13487;0.95226;0.66424;0.79006
5;5;10;20;16;2;326;39;18;0.12406;0.95418;0.46668;0.86058
5;5;10;20;16;2;326;39;19;0.13555;0.95226;0.33001;0.89423
5;5;10;20;16;2;326;39;20;0.11852;0.95878;0.56001;0.82212
