Group Model;Model;CNN;Number of Epocch;Batch Size;Camadas Ocultas;Steps_per_Epoch;Validation_Steps;Epoch;Loss;Accuracy;Val_Loss;Val_Accuracy
3;3;1;10;16;2;326;39;1;0.30184;0.86599;0.83849;0.63782
3;3;1;10;16;2;326;39;2;0.24066;0.89877;0.60443;0.76603
3;3;1;10;16;2;326;39;3;0.21522;0.91526;0.95374;0.68429
3;3;1;10;16;2;326;39;4;0.20138;0.91967;0.92387;0.67147
3;3;1;10;16;2;326;39;5;0.18154;0.92638;0.73438;0.72756
3;3;1;10;16;2;326;39;6;0.17817;0.92983;0.62019;0.77244
3;3;1;10;16;2;326;39;7;0.18403;0.92906;1.00723;0.71635
3;3;1;10;16;2;326;39;8;0.16194;0.93558;0.76620;0.76763
3;3;1;10;16;2;326;39;9;0.15693;0.93980;0.77860;0.68750
3;3;1;10;16;2;326;39;10;0.15457;0.94363;0.48078;0.86859
